日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1996-06-06,-0.11,0.7,0.93,-0.12,134469,118802280.0,-150.0,200.0,1.4,89.65
1996-06-07,0.3,0.4,0.61,0.23,67808,68089488.0,54.29,-42.86,-0.3,45.21
1996-06-10,0.26,0.13,0.35,0.05,36431,32764024.0,75.0,-67.5,-0.27,24.29
1996-06-11,0.09,0.16,0.28,0.01,25077,22410756.0,207.69,23.08,0.03,16.72
1996-06-12,0.14,0.13,0.16,0.07,15394,13517463.0,56.25,-18.75,-0.03,10.26
1996-06-13,0.12,0.11,0.14,0.07,13880,12167089.0,53.85,-15.38,-0.02,9.25
1996-06-14,0.11,0.03,0.12,0.02,11205,9518741.0,90.91,-72.73,-0.08,7.47
1996-06-17,0.03,0.07,0.13,-0.05,9633,8098859.5,600.0,133.33,0.04,6.42
1996-06-18,-0.01,0.02,0.05,-0.01,4501,3771943.0,85.71,-71.43,-0.05,3.0
1996-06-19,0.04,0.02,0.09,0.0,5461,4588868.5,450.0,0.0,0.0,3.64
1996-06-20,0.02,0.08,0.08,0.0,13106,11140254.0,400.0,300.0,0.06,8.74
1996-06-21,0.09,0.09,0.2,0.08,20651,18334898.0,150.0,12.5,0.01,13.77
1996-06-24,0.05,0.07,0.12,0.03,7217,6158029.5,100.0,-22.22,-0.02,4.81
1996-06-25,0.07,0.01,0.07,0.0,6896,5778641.0,100.0,-85.71,-0.06,4.6
1996-06-26,0.0,0.0,0.05,-0.01,5249,4349258.5,600.0,-100.0,-0.01,3.5
1996-06-27,0.0,-0.01,0.0,-0.03,4993,4105552.75,1986.94,0.0,-0.01,3.33
1996-06-28,-0.01,-0.03,0.01,-0.06,4159,3399489.0,-700.0,-200.0,-0.02,2.77
1996-07-01,-0.03,-0.09,0.0,-0.1,3661,2940710.0,-333.33,-200.0,-0.06,2.44
1996-07-02,-0.1,-0.07,-0.02,-0.14,2943,2352186.5,-133.33,22.22,0.02,1.96
1996-07-03,-0.09,-0.05,-0.04,-0.09,4770,3808209.5,-71.43,28.57,0.02,3.18
1996-07-04,-0.04,-0.06,-0.03,-0.13,4377,3487571.0,-200.0,-20.0,-0.01,2.92
1996-07-05,-0.05,-0.02,0.04,-0.07,9759,8001767.5,-183.33,66.67,0.04,6.51
1996-07-08,-0.04,-0.04,-0.02,-0.07,8232,6640791.5,-250.0,-100.0,-0.02,5.49
1996-07-09,-0.04,-0.08,-0.04,-0.09,5424,4320194.0,-125.0,-100.0,-0.04,3.62
1996-07-10,-0.08,-0.01,0.02,-0.11,10649,8536373.0,-162.5,87.5,0.07,7.1
1996-07-11,0.0,-0.08,0.01,-0.08,5765,4650575.0,-900.0,-700.0,-0.07,3.84
1996-07-12,-0.11,-0.05,-0.05,-0.14,5571,4423658.5,-112.5,37.5,0.03,3.71
1996-07-15,-0.07,-0.09,-0.07,-0.11,5183,4090070.25,-80.0,-80.0,-0.04,3.46
1996-07-16,-0.07,-0.04,-0.02,-0.09,8195,6611341.5,-77.78,55.56,0.05,5.46
1996-07-17,-0.04,0.0,0.11,-0.06,24180,20459980.0,-425.0,100.0,0.04,16.12
1996-07-18,-0.02,0.06,0.07,-0.03,13845,11692885.0,5588.27,0.0,0.06,9.23
1996-07-19,0.06,0.0,0.12,-0.04,10835,9186527.0,266.67,-100.0,-0.06,7.22
1996-07-22,0.0,0.01,0.05,-0.01,8234,6853645.0,3104.59,0.0,0.01,5.49
1996-07-23,0.02,0.0,0.04,-0.05,10050,8257826.5,900.0,-100.0,-0.01,6.7
1996-07-24,0.01,0.07,0.11,0.01,22241,19111334.0,5339.9,0.0,0.07,14.83
1996-07-25,0.07,0.01,0.13,0.01,11500,9863015.0,171.43,-85.71,-0.06,7.67
1996-07-26,0.01,0.11,0.21,0.0,29529,26069844.0,2100.0,1000.0,0.1,19.69
1996-07-29,0.16,0.38,0.4,0.14,53670,51543144.0,236.36,245.45,0.27,35.78
1996-07-30,0.4,0.28,0.41,0.23,25535,24794262.0,47.37,-26.32,-0.1,17.02
1996-07-31,0.28,0.14,0.28,0.12,18417,16635933.0,57.14,-50.0,-0.14,12.28
1996-08-01,0.14,0.19,0.23,0.14,11304,10227998.0,64.29,35.71,0.05,7.54
1996-08-02,0.18,0.07,0.19,0.02,12224,10573734.0,89.47,-63.16,-0.12,8.15
1996-08-05,0.03,0.14,0.16,0.0,10156,8785188.0,228.57,100.0,0.07,6.77
1996-08-06,0.14,0.12,0.15,0.07,6300,5519777.0,57.14,-14.29,-0.02,4.2
1996-08-07,0.14,0.12,0.15,0.09,9281,8154893.5,50.0,0.0,0.0,6.19
1996-08-08,0.12,0.21,0.25,0.1,16287,14628629.0,125.0,75.0,0.09,10.86
1996-08-09,0.21,0.23,0.32,0.19,21314,19973910.0,61.9,9.52,0.02,14.21
1996-08-12,0.25,0.28,0.33,0.25,19564,18652032.0,34.78,21.74,0.05,13.04
1996-08-13,0.3,0.19,0.32,0.18,9105,8388915.0,50.0,-32.14,-0.09,6.07
1996-08-14,0.17,0.2,0.26,0.17,8215,7555258.5,47.37,5.26,0.01,5.48
1996-08-15,0.16,0.16,0.25,0.12,4773,4345262.0,65.0,-20.0,-0.04,3.18
1996-08-16,0.12,0.1,0.16,0.07,9317,8126177.0,56.25,-37.5,-0.06,6.21
1996-08-19,0.09,-0.01,0.09,-0.01,5526,4644360.0,100.0,-110.0,-0.11,3.68
1996-08-20,-0.04,-0.07,0.02,-0.11,5636,4605572.0,-1300.0,-600.0,-0.06,3.76
1996-08-21,-0.1,-0.04,0.0,-0.1,5134,4178469.25,-142.86,42.86,0.03,3.42
1996-08-22,-0.02,-0.11,-0.02,-0.11,4877,3920074.25,-225.0,-175.0,-0.07,3.25
1996-08-23,-0.06,-0.17,-0.05,-0.2,6138,4674743.5,-136.36,-54.55,-0.06,4.09
1996-08-26,-0.17,-0.28,-0.17,-0.28,3292,2408352.0,-64.71,-64.71,-0.11,2.19
1996-08-27,-0.3,-0.23,-0.23,-0.3,3694,2665673.75,-25.0,17.86,0.05,2.46
1996-08-28,-0.23,-0.14,-0.14,-0.23,5082,3822893.75,-39.13,39.13,0.09,3.39
