日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-09-17,300120,9.42,8.0,9.75,8.0,116445,331776736.0,28.59,30.72,1.88,66.16
2010-09-20,300120,7.54,7.12,7.59,7.12,60805,148353238.0,5.88,-11.0,-0.88,34.55
2010-09-21,300120,6.88,6.69,6.98,6.62,30567,70352343.0,5.06,-6.04,-0.43,17.37
2010-09-27,300120,6.75,6.76,6.82,6.65,15128,34669249.0,2.54,1.05,0.07,8.6
2010-09-28,300120,6.74,6.58,6.9,6.58,19551,44751127.0,4.73,-2.66,-0.18,11.11
2010-09-29,300120,6.48,6.48,6.54,6.45,12378,27368165.0,1.37,-1.52,-0.1,7.03
2010-09-30,300120,6.51,6.75,6.84,6.49,16026,36555011.0,5.4,4.17,0.27,9.11
2010-10-08,300120,6.78,6.95,7.03,6.75,19937,46647843.0,4.15,2.96,0.2,11.33
2010-10-11,300120,6.9,6.84,6.91,6.75,19674,45433810.0,2.3,-1.58,-0.11,11.18
2010-10-12,300120,6.79,6.84,6.9,6.78,13447,31180522.0,1.75,0.0,0.0,7.64
2010-10-13,300120,6.81,6.81,6.86,6.7,14324,32955071.0,2.34,-0.44,-0.03,8.14
2010-10-14,300120,6.81,6.67,6.84,6.66,13839,31694586.0,2.64,-2.06,-0.14,7.86
2010-10-15,300120,6.66,6.64,6.75,6.59,9620,21763491.0,2.4,-0.45,-0.03,5.47
2010-10-18,300120,6.63,6.55,6.66,6.41,13338,29542643.0,3.77,-1.36,-0.09,7.58
2010-10-19,300120,6.55,7.05,7.18,6.52,36629,85994127.0,10.08,7.63,0.5,20.81
2010-10-20,300120,6.89,6.86,7.1,6.82,29074,68326947.0,3.97,-2.7,-0.19,16.52
2010-10-21,300120,6.81,6.88,6.89,6.68,16157,37166811.0,3.06,0.29,0.02,9.18
2010-10-22,300120,6.88,7.05,7.21,6.84,23841,57178995.0,5.38,2.47,0.17,13.55
2010-10-25,300120,7.07,7.3,7.38,7.07,24738,60598176.0,4.4,3.55,0.25,14.06
2010-10-26,300120,7.3,7.1,7.33,7.01,18015,43113315.0,4.38,-2.74,-0.2,10.24
2010-10-27,300120,7.1,7.02,7.17,7.0,13387,31942206.0,2.39,-1.13,-0.08,7.61
2010-10-28,300120,7.01,7.12,7.15,6.94,12068,28724542.0,2.99,1.42,0.1,6.86
2010-10-29,300120,7.18,7.39,7.48,7.11,28691,70797310.0,5.2,3.79,0.27,16.3
2010-11-01,300120,7.39,7.6,7.63,7.37,27297,69155671.0,3.52,2.84,0.21,15.51
2010-11-02,300120,7.67,7.3,7.67,7.29,22285,55639318.0,5.0,-3.95,-0.3,12.66
2010-11-03,300120,7.21,7.06,7.23,7.05,13559,32537664.0,2.47,-3.29,-0.24,7.7
2010-11-04,300120,7.07,7.16,7.2,7.01,7830,18841293.0,2.69,1.42,0.1,4.45
2010-11-05,300120,7.23,7.23,7.29,7.13,8435,20463903.0,2.23,0.98,0.07,4.79
2010-11-08,300120,7.23,7.4,7.4,7.2,12433,30724715.0,2.77,2.35,0.17,7.06
2010-11-09,300120,7.44,7.52,7.52,7.29,16069,40143693.0,3.11,1.62,0.12,9.13
2010-11-10,300120,7.6,7.59,7.73,7.51,16945,43341770.0,2.93,0.93,0.07,9.63
2010-11-11,300120,7.56,7.45,7.72,7.44,18878,48311774.0,3.69,-1.84,-0.14,10.73
2010-11-12,300120,7.42,7.01,7.51,6.99,17830,43668337.0,6.98,-5.91,-0.44,10.13
2010-11-16,300120,7.37,7.79,7.79,7.37,75970,196728646.0,5.99,11.13,0.78,43.17
2010-11-17,300120,7.82,8.65,8.65,7.77,96769,265173924.0,11.3,11.04,0.86,54.98
2010-11-18,300120,8.66,8.56,9.09,8.26,59627,171312210.0,9.6,-1.04,-0.09,33.88
